capitulo,2012_10,2013_2,2013_4,2013_5,2013_7,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_6,2014_8,2014_9,2014_10,2014_11,2014_12,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,2016_1,2016_3,2016_4,2016_5,2016_6,2016_8,2016_9,2016_10,2016_11,2016_12,2017_1,2017_2,2017_3,2017_4,2017_5,2017_6,2017_7,2017_8,2017_9,2017_10,2017_11,2017_12,2018_1,2018_2,2018_3,2018_4,2018_5,2018_6,2018_7,2018_8,2018_9,2018_10,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6
R-Ladies San Francisco,1,1,1,1,1,1,2,1,1,2,4,4,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,2,1,1,0,1,0,1,1,1,0,1,0
Spotkania Entuzjastów R-Warsaw RUG Meetup & R-Ladies Warsaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2,1,2,2,0,0,1,1,1,0,1,0,2,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0
R-Ladies Twin Cities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,1,1,0,1,0,1,1,2,1,1,1,1,1,0,1
R-Ladies London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,2,1,2,1,1,1,2,1,2,3,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
R-Ladies RTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,2,1,2,4,2,1,2,2,1,0,2,0,0,1,0,1,1,0,2,1,2,1
R-Ladies Boston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,2,1,1,1,1,2,1,0,2,2,1,2,1,1,1,0,1,1,0,0
R-Ladies Istanbul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,1,0,0,1,0,1,1,1,0,1,0,0,0
R-Ladies Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
R-Ladies Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2,0,1,1,0,0,1,1,1,1,1,1,1,1,2,1
R-Ladies Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,4,0,3,1,1,2,1,2,1,2,0,2,2,1,1,1,1,1,1,1,1,3,0,1,1,0,1,1
